ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.002,0.002,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/core/handlers/exception.py:52(inner)
1,0.000,0.000,0.002,0.002,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/core/handlers/base.py:174(_get_response)
1,0.000,0.000,0.002,0.002,/home/vance_octane/Bsc/Level_6/cm3070/final/web_app_25-Docstrings/camera_app/camera/views.py:196(index)
1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/shortcuts.py:17(render)
1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader.py:52(render_to_string)
1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/backends/django.py:56(render)
1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:169(render)
2/1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:166(_render)
5/1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:1004(render)
5/1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:1005()
20/1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:958(render_annotated)
1,0.000,0.000,0.001,0.001,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader_tags.py:131(render)
8,0.000,0.000,0.001,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/defaulttags.py:454(render)
2,0.000,0.000,0.001,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader_tags.py:49(render)
8,0.000,0.000,0.001,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/base.py:27(reverse)
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/resolvers.py:741(_reverse_with_prefix)
136/83,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
26,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/asgiref/local.py:116(__getattr__)
